GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE
1001721,110070864117,2023,"REAL ALLOY SPECIFICATION, LLC.",4525 W OLD US 24,WABASH,IN,46992,WABASH COUNTY,REAL ALLOY HOLDING LLC,"3700 Park East Drive, Suite 300",Beachwood,OH,44122,100,331314
1001722,110000405696,2023,Ford Motor Company - Flat Rock Assembly Plant,1 INTERNATIONAL DR.,FLAT ROCK,MI,48134,WAYNE COUNTY,FORD MOTOR CO,One American Road,Dearborn,MI,48126,100,336110
1001723,110033218881,2023,REDFIELD ENERGY LLC,38650 171ST ST,REDFIELD,SD,57469,SPINK COUNTY,REDFIELD ENERGY LLC,38650 171St Street,Redfield,SD,57469,100,325193
1001725,110070151856,2023,"Electronic Fluorocarbons, LLC",3266 BERGEY RD,HATFIELD,PA,19440,MONTGOMERY COUNTY,ELECTRONIC FLUOROCARBONS LLC,3266 Bergey Road,Hatfield,PA,19440,100,325120
1001726,110001374138,2023,BROWN-FORMAN DISTILLERY (FORMERLY EARLY TIMES DISTILLERS CO),2921 DIXIE HIGHWAY,LOUISVILLE,KY,40216,JEFFERSON COUNTY,BROWN-FORMAN CORP,850 Dixie Highway,Louisville,KY,40210,100,312140
1001727,,2023,"Boomvang Spar, East Breaks 643 Platform",,Offshore,TX,00000,,OCCIDENTAL PETROLEUM CORP,"5 Greenway Plaza, Suite 110",Houston,TX,77046,100,211120
1001728,,2023,"Marco Polo TLP, Green Canyon 608 Platform",,Offshore,LA,00000,,OCCIDENTAL PETROLEUM CORP,"5 Greenway Plaza, Suite 110",Houston,TX,77046,100,211120
1001733,110013288557,2023,International Paper - Red River Mill,4537 HIGHWAY 480,CAMPTI,LA,71411,NATCHITOCHES PARISH,INTERNATIONAL PAPER CO,6400 Poplar Avenue,Memphis,TN,38197,100,322120
1001735,110000495802,2023,HILMAR CHEESE COMPANY,9001 N. LANDER AVE.,HILMAR,CA,95324,MERCED COUNTY,HILMAR CHEESE CO,9001 Lander Avenue,Hilmar,CA,95324,100,311513
1001736,110071161588,2023,HILL AIR FORCE BASE: MAIN BASE,"7290 Weiner St., 75 CEG/CEIEA",HILL AIR FORCE BASE,UT,84056,DAVIS COUNTY,US GOVERNMENT,,,,,,928110
1001737,110008972594,2023,ENDICOTT PRODUCTION FACILITY,,Prudhoe Bay,AK,99734,NORTH SLOPE BOROUGH,HILCORP ENERGY CO,1111 Travis St,Houston,TX,77002,100,211130
1001738,110071159544,2023,Duke Energy Kentucky Gas Operation,139 East Fourth St.,Cincinnati,OH,45201,HAMILTON COUNTY,DUKE ENERGY CORP,525 S Tryon Street,Charlotte,NC,28202,100,221210
1001739,110011679567,2023,THE WESTERN SUGAR COOPERATIVE,400 GREAT WESTERN AVENUE,LOVELL,WY,82431,BIG HORN COUNTY,THE WESTERN SUGAR COOPERATIVE,"7555 East Hampden Avenue, Suite 600",Denver,CO,80231,100,311313
1001741,110070664080,2023,DSM NUTRITIONAL PRODUCTS LLC,205 MACKS ISLAND DRIVE,BELVIDERE,NJ,07823,WARREN COUNTY,DSM HOLDING CO USA INC,45 Waterview Blvd.,Parsippany,NJ,07054,100,325411
1001748,110000359763,2023,"SOLVAY SPECIALTY POLYMERS USA, LLC",3702 CLANTON ROAD,AUGUSTA,GA,30906,RICHMOND COUNTY,SOLVAY HOLDING INC,504 Carnegie Center,Princeton,NJ,08540,100,325211
